Code,Area,Year,Measure,Value
E12000002,North West,Year ending Jun 1997,Median,"47,995"
E12000003,Yorkshire And The Humber,Year ending Jun 1997,Median,"47,950"
E12000004,East Midlands,Year ending Jun 1997,Median,"49,000"
E12000005,West Midlands,Year ending Jun 1997,Median,"53,000"
E12000006,East of England,Year ending Jun 1997,Median,"60,000"
E12000007,London,Year ending Jun 1997,Median,"80,950"
E12000008,South East,Year ending Jun 1997,Median,"70,950"
E12000009,South West,Year ending Jun 1997,Median,"59,000"
E92000001,England,Year ending Jun 1997,Median,"59,500"
W92000004,Wales,Year ending Jun 1997,Median,"46,500"
K04000001,England And Wales,Year ending Jun 1997,Median,"58,999"
E09000001,City of London,Year ending Sep 1997,Median,"130,000"
E09000002,Barking and Dagenham,Year ending Sep 1997,Median,"52,000"
E09000003,Barnet,Year ending Sep 1997,Median,"95,000"
E09000004,Bexley,Year ending Sep 1997,Median,"70,000"
E09000005,Brent,Year ending Sep 1997,Median,"80,000"
E09000006,Bromley,Year ending Sep 1997,Median,"84,500"
E09000007,Camden,Year ending Sep 1997,Median,"140,000"
E09000008,Croydon,Year ending Sep 1997,Median,"69,000"
E09000009,Ealing,Year ending Sep 1997,Median,"87,000"
E09000010,Enfield,Year ending Sep 1997,Median,"76,000"
E09000011,Greenwich,Year ending Sep 1997,Median,"64,995"
E09000012,Hackney,Year ending Sep 1997,Median,"72,998"
E09000013,Hammersmith and Fulham,Year ending Sep 1997,Median,"132,000"
E09000014,Haringey,Year ending Sep 1997,Median,"78,000"
E09000015,Harrow,Year ending Sep 1997,Median,"90,000"
E09000016,Havering,Year ending Sep 1997,Median,"72,500"
E09000017,Hillingdon,Year ending Sep 1997,Median,"77,500"
E09000018,Hounslow,Year ending Sep 1997,Median,"77,500"
E09000019,Islington,Year ending Sep 1997,Median,"115,000"
E09000020,Kensington and Chelsea,Year ending Sep 1997,Median,"218,000"
E09000021,Kingston upon Thames,Year ending Sep 1997,Median,"90,000"
E09000022,Lambeth,Year ending Sep 1997,Median,"83,000"
E09000023,Lewisham,Year ending Sep 1997,Median,"62,000"
E09000024,Merton,Year ending Sep 1997,Median,"83,500"
E09000025,Newham,Year ending Sep 1997,Median,"54,995"
E09000026,Redbridge,Year ending Sep 1997,Median,"75,000"
E09000027,Richmond upon Thames,Year ending Sep 1997,Median,"129,950"
E09000028,Southwark,Year ending Sep 1997,Median,"80,500"
E09000029,Sutton,Year ending Sep 1997,Median,"73,000"
E09000030,Tower Hamlets,Year ending Sep 1997,Median,"89,995"
